painting_name,painting_time,museum_name,type,painting_url,painter_name,painter_hash
水果与咖啡壶,1899,艾尔米塔什博物馆,油彩,"https://www.youhuadaquan.org/images/Henri%20Emile%20Benoit%20Matisse/27140-Matisse,%20Henri%20Emile%20Benoit.jpg",亨利·马蒂斯,8
圣米奇尔的渡船,1900,巴黎国立现代艺术馆,油彩,"https://www.youhuadaquan.org/images/Henri%20Emile%20Benoit%20Matisse/27141-Matisse,%20Henri%20Emile%20Benoit.jpg",亨利·马蒂斯,8
蓝色桌布与静物,1900,艾尔米塔什博物馆,油彩,"https://www.youhuadaquan.org/images/Henri%20Emile%20Benoit%20Matisse/27142-Matisse,%20Henri%20Emile%20Benoit.jpg",亨利·马蒂斯,8
有小风琴的房间,1900,马蒂斯美术馆,油彩,"https://www.youhuadaquan.org/images/Henri%20Emile%20Benoit%20Matisse/27143-Matisse,%20Henri%20Emile%20Benoit.jpg",亨利·马蒂斯,8
画家的父亲,1866,华盛顿国家艺术画廊,油画,"https://www.youhuadaquan.org/images/Paul%20Cezanne/21421-Cezanne,%20Paul.jpg",保罗·塞尚,9
在弹钢琴的女孩,1868,圣彼得堡冬宫,油画,"https://www.youhuadaquan.org/images/Paul%20Cezanne/21422-Cezanne,%20Paul.jpg",保罗·塞尚,9
现代奥林匹亚,1869,私人,油画,"https://www.youhuadaquan.org/images/Paul%20Cezanne/21423-Cezanne,%20Paul.jpg",保罗·塞尚,9
皮尔拉克鲁在瓦兹的房子,1873,华盛顿国家艺术画廊,油画,"https://www.youhuadaquan.org/images/Paul%20Cezanne/21426-Cezanne,%20Paul.jpg",保罗·塞尚,9
加谢医生在瓦兹的房子,1873,法国巴黎奥赛博物馆,油画,"https://www.youhuadaquan.org/images/Paul%20Cezanne/21425-Cezanne,%20Paul.jpg",保罗·塞尚,9
那不勒斯的午后,1872,澳大利亚国家画廊,油画,"https://www.youhuadaquan.org/images/Paul%20Cezanne/21424-Cezanne,%20Paul.jpg",保罗·塞尚,9
对瓦兹奥维尔小镇的视图,1873,私人,油画,"https://www.youhuadaquan.org/images/Paul%20Cezanne/21427-Cezanne,%20Paul.jpg",保罗·塞尚,9
红色背景的自画像,1875,拜尔勒画廊,油画,"https://www.youhuadaquan.org/images/Paul%20Cezanne/21428-Cezanne,%20Paul.jpg",保罗·塞尚,9
樱桃和桃子,1883,洛杉矶洛杉矶郡立美术馆,油画,"https://www.youhuadaquan.org/images/Paul%20Cezanne/21429-Cezanne,%20Paul.jpg",保罗·塞尚,9
容器，篮子和水果(厨房桌子),1888,法国巴黎奥赛博物馆,油画,"https://www.youhuadaquan.org/images/Paul%20Cezanne/21432-Cezanne,%20Paul.jpg",保罗·塞尚,9
狂欢节,1888,苏黎世美术馆,油画,"https://www.youhuadaquan.org/images/Paul%20Cezanne/21431-Cezanne,%20Paul.jpg",保罗·塞尚,9
狂欢节习作,1886,私人,铅笔,"https://www.youhuadaquan.org/images/Paul%20Cezanne/21430-Cezanne,%20Paul.jpg",保罗·塞尚,9
蒙塔涅圣维克图瓦,1890,苏格兰国家画廊,油画,"https://www.youhuadaquan.org/images/Paul%20Cezanne/21434-Cezanne,%20Paul.jpg",保罗·塞尚,9
穿红背心的少年,1890,苏黎世美术馆,油画,"https://www.youhuadaquan.org/images/Paul%20Cezanne/21435-Cezanne,%20Paul.jpg",保罗·塞尚,9
城堡,1900,华盛顿国家艺术画廊,油画,"https://www.youhuadaquan.org/images/Paul%20Cezanne/21438-Cezanne,%20Paul.jpg",保罗·塞尚,9
静物与布帘,1899,圣彼得堡艾米塔吉博物馆,油画,"https://www.youhuadaquan.org/images/Paul%20Cezanne/21437-Cezanne,%20Paul.jpg",保罗·塞尚,9
洋葱和瓶子,1895,法国巴黎奥赛博物馆,油画,"https://www.youhuadaquan.org/images/Paul%20Cezanne/21436-Cezanne,%20Paul.jpg",保罗·塞尚,9
大浴女,1900,巴尼斯基金会,油画,"https://www.youhuadaquan.org/images/Paul%20Cezanne/21439-Cezanne,%20Paul.jpg",保罗·塞尚,9
夜来香,1926,私人,油画,"https://www.youhuadaquan.org/images/Rene%20Magritte/26626-Magritte,%20Rene.jpg",雷内·马格里特,10
个人价值观,1951,旧金山现代艺术博物馆,油画,"https://www.youhuadaquan.org/images/Rene%20Magritte/26627-Magritte,%20Rene.jpg",雷内·马格里特,10
幸福之手,1951,私人,油画,"https://www.youhuadaquan.org/images/Rene%20Magritte/26628-Magritte,%20Rene.jpg",雷内·马格里特,10
窗,1925,私人,油画,"https://www.youhuadaquan.org/images/Rene%20Magritte/26631-Magritte,%20Rene.jpg",雷内·马格里特,10
好兆头,1944,私人,油画,"https://www.youhuadaquan.org/images/Rene%20Magritte/26630-Magritte,%20Rene.jpg",雷内·马格里特,10
女子洗澡,1922,私人,油画,"https://www.youhuadaquan.org/images/Rene%20Magritte/26629-Magritte,%20Rene.jpg",雷内·马格里特,10
无形世界,1954,私人,油画,"https://www.youhuadaquan.org/images/Rene%20Magritte/26632-Magritte,%20Rene.jpg",雷内·马格里特,10
雨后的云,1926,苏黎世美术馆,油画,"https://www.youhuadaquan.org/images/Rene%20Magritte/26633-Magritte,%20Rene.jpg",雷内·马格里特,10
困境,1926,私人,油画,"https://www.youhuadaquan.org/images/Rene%20Magritte/26634-Magritte,%20Rene.jpg",雷内·马格里特,10
名人,1926,私人,油画,"https://www.youhuadaquan.org/images/Rene%20Magritte/26637-Magritte,%20Rene.jpg",雷内·马格里特,10
黄金时期,1926,私人,油画,"https://www.youhuadaquan.org/images/Rene%20Magritte/26636-Magritte,%20Rene.jpg",雷内·马格里特,10
他不是演讲者,1926,私人,油画,"https://www.youhuadaquan.org/images/Rene%20Magritte/26635-Magritte,%20Rene.jpg",雷内·马格里特,10
令人感动的消息,1926,私人,油画,"https://www.youhuadaquan.org/images/Rene%20Magritte/26638-Magritte,%20Rene.jpg",雷内·马格里特,10
偶像的诞生,1926,私人,油画,"https://www.youhuadaquan.org/images/Rene%20Magritte/26639-Magritte,%20Rene.jpg",雷内·马格里特,10
超越困苦,1926,私人,油画,"https://www.youhuadaquan.org/images/Rene%20Magritte/26640-Magritte,%20Rene.jpg",雷内·马格里特,10
